"","state_name","state_postal","KWH","DOLLAREL","HDD65","CDD65","UATYP10","TYPEHUQ","MONEYPY","ENERGYASST20","BA_climate","DIVISION","YEARMADERANGE","KOWNRENT","COOLCNTL","HEATCNTL","LGTINLED","SMARTMETER","TYPETHERM","ATHOME"
"124","California","CA",16207.98,4264.71,1076,2054,"U",2,16,-2,"Hot-Dry","Pacific",1,1,2,2,3,1,2,5
"125","New Jersey","NJ",8448.7,1151.8,4465,1221,"U",2,6,-2,"Mixed-Humid","Middle Atlantic",2,1,1,1,0,1,2,5
"126","Colorado","CO",7885.45,867.67,5472,1019,"U",2,14,-2,"Cold","Mountain North",5,1,2,2,0,-4,2,5
"127","Maine","ME",6010.72,989.58,7032,517,"R",2,15,-2,"Cold","New England",5,1,5,1,1,-4,1,5
"128","Massachusetts","MA",17782.42,1825.23,5909,842,"U",2,15,-2,"Cold","New England",2,1,1,1,1,-4,2,5
"129","Virginia","VA",8790.14,980.53,4150,1225,"U",3,14,-2,"Mixed-Humid","South Atlantic",6,1,1,1,2,-4,1,2
"130","Texas","TX",27778.01,3200.48,2638,2281,"U",2,16,-2,"Mixed-Humid","West South Central",4,1,2,2,1,-4,2,2
"131","Wisconsin","WI",4289.95,805.88,6824,626,"U",2,13,-2,"Cold","East North Central",2,1,3,1,4,0,2,5
"132","Virginia","VA",10390.58,1338.41,2618,1867,"U",2,9,-2,"Mixed-Humid","South Atlantic",2,1,1,1,2,0,1,5
"133","California","CA",5725.06,1496.56,2405,1351,"U",2,12,-2,"Marine","Pacific",5,1,3,3,2,1,3,5
"134","Washington","WA",4085.2,447.15,4224,300,"U",5,12,-2,"Marine","Pacific",8,2,-2,-2,4,-4,-2,4
"135","Nebraska","NE",4063.68,401.95,5928,1209,"U",2,9,-2,"Cold","West North Central",5,1,2,2,0,-4,1,5
"136","Indiana","IN",14519.14,1643.34,4069,1497,"C",2,4,-2,"Mixed-Humid","East North Central",7,2,1,1,1,-4,2,5
"137","Utah","UT",8307.21,842.72,5029,1614,"U",2,16,-2,"Cold","Mountain North",8,1,3,3,3,-4,3,5
"138","Georgia","GA",13236.12,1705.67,2648,1741,"U",2,16,-2,"Mixed-Humid","South Atlantic",5,1,3,3,3,-4,3,2
"139","Maryland","MD",18727.28,1959.91,4540,1202,"U",2,12,-2,"Mixed-Humid","South Atlantic",6,2,2,2,4,-4,2,5
"140","Florida","FL",12174.42,1350.72,490,3949,"U",2,14,-2,"Hot-Humid","South Atlantic",1,1,2,-2,3,1,0,1
"141","Idaho","ID",8446.03,982.63,6995,222,"R",2,12,-2,"Cold","Mountain North",7,1,2,2,3,0,1,3
"142","Maryland","MD",8741.84,1312.63,4213,1177,"U",5,16,-2,"Mixed-Humid","South Atlantic",3,2,1,1,4,-4,1,5
"143","Georgia","GA",19541.36,2840.9,1337,2717,"R",1,13,-2,"Hot-Humid","South Atlantic",9,1,1,1,2,1,1,0
"144","Tennessee","TN",32262.55,4631.21,3605,1469,"R",2,14,-2,"Mixed-Humid","East South Central",9,1,3,3,0,0,3,5
"145","Delaware","DE",6957.99,910.86,3576,1538,"C",3,12,-2,"Mixed-Humid","South Atlantic",8,1,1,1,2,1,2,3
"146","Indiana","IN",8403.49,1411.4,6401,687,"C",2,8,-2,"Cold","East North Central",7,1,1,2,2,1,1,5
"147","California","CA",13732.92,2166.27,2250,2068,"U",2,15,-2,"Hot-Dry","Pacific",1,1,1,2,4,0,1,5
"148","Georgia","GA",4428.51,671.43,2483,1797,"U",4,9,-2,"Mixed-Humid","South Atlantic",5,2,2,2,1,-4,1,2
"149","Pennsylvania","PA",8162.15,1109.93,4336,1292,"U",5,14,-2,"Mixed-Humid","Middle Atlantic",2,2,2,2,4,-4,1,5
"150","California","CA",13933.59,3418.24,1237,2347,"U",2,16,-2,"Hot-Dry","Pacific",6,1,3,1,2,0,3,5
"151","North Dakota","ND",8257.1,933.68,8075,599,"U",2,13,-2,"Cold","West North Central",4,1,2,1,3,0,1,5
"152","Ohio","OH",15970.41,1987.36,5667,776,"U",2,16,-2,"Cold","East North Central",9,1,2,2,1,1,2,5
"153","Utah","UT",5442,638.74,5407,1227,"U",3,8,-2,"Cold","Mountain North",2,1,1,1,2,-4,2,5
"154","Texas","TX",19066.09,2048.3,1780,2758,"U",2,8,-2,"Hot-Humid","West South Central",1,1,1,1,3,1,2,5
"155","Nebraska","NE",12076.4,1061.59,6304,973,"U",2,15,-2,"Cold","West North Central",3,1,3,3,4,1,3,5
"156","Massachusetts","MA",11038.45,2428.26,5779,887,"U",2,13,-2,"Cold","New England",2,1,4,2,0,-4,1,5
"157","District of Columbia","DC",4188.52,449.71,3354,1702,"U",5,6,-2,"Mixed-Humid","South Atlantic",4,2,1,3,1,-4,2,5
"158","Arizona","AZ",21471.17,1419.07,1229,4490,"U",2,16,-2,"Hot-Dry","Mountain South",7,1,3,3,2,1,3,5
"159","Georgia","GA",7645.02,1051.25,1182,2810,"C",2,5,-2,"Hot-Humid","South Atlantic",1,1,1,1,0,-4,1,5
"160","North Dakota","ND",27534.26,2647.51,8862,406,"R",2,16,-2,"Very-Cold","West North Central",3,1,-2,1,4,1,1,5
"161","Iowa","IA",5617.67,652.38,7257,700,"R",3,12,-2,"Cold","West North Central",6,1,2,2,1,1,1,5
